name,club,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,nationality,new_foreign,age_cat,club_id,big_club,new_signing
Ben Woodburn,Liverpool,17,LW,Attacker,1.5,1241,4.5,0.1,5,United Kingdom,United Kingdom,0,1,10,1,0
Marko Grujic,Liverpool,21,CM,Midfield,5,615,4.5,0.2,4,EU,Serbia,0,1,10,1,0
Joe Gomez,Liverpool,20,CB,Defence,4,460,4.5,0.4,0,United Kingdom,United Kingdom,0,1,10,1,0
Sheyi Ojo,Liverpool,20,LW,Attacker,2,383,5,0.1,0,United Kingdom,United Kingdom,0,1,10,1,0
Mohamed Salah,Liverpool,25,RW,Attacker,35,1117,9,12.4,0,RoW,Egypt,1,3,10,1,0
Danny Ings,Liverpool,24,CF,Attacker,8,748,5.5,0.1,0,United Kingdom,United Kingdom,0,2,10,1,0
Dominic Solanke,Liverpool,19,CF,Attacker,2,671,5,2,0,United Kingdom,United Kingdom,0,1,10,1,0
Kevin De Bruyne,Manchester+City,26,AM,Attacker,65,2252,10,17.5,199,EU,Belgium,0,3,11,1,0
Sergio Aguero,Manchester+City,29,CF,Attacker,65,4046,11.5,9.7,175,Americas,Argentina,0,4,11,1,0
Raheem Sterling,Manchester+City,22,LW,Attacker,45,2074,8,3.8,149,United Kingdom,United Kingdom,0,2,11,1,0
Kyle Walker,Manchester+City,27,RB,Defence,30,1008,6.5,18.5,142,United Kingdom,United Kingdom,0,3,11,1,0
David Silva,Manchester+City,31,AM,Attacker,30,1434,8,3.3,130,EU,Spain,0,4,11,1,0
Leroy Sane,Manchester+City,21,LW,Attacker,35,2302,8.5,8.8,105,EU,Germany,0,1,11,1,1
Nicolas Otamendi,Manchester+City,29,CB,Defence,30,621,5.5,3.3,100,Americas,Argentina,0,4,11,1,0
Aleksandar Kolarov,Manchester+City,31,LB,Defence,10,633,5.5,1.1,95,EU,Serbia,0,4,11,1,0
Yaya Toure,Manchester+City,34,CM,Midfield,8,2318,6.5,2.5,86,RoW,Cote d'Ivoire,0,6,11,1,0
Fernandinho,Manchester+City,32,DM,Midfield,18,595,5,0.8,78,Americas,Brazil,0,5,11,1,0
Claudio Bravo,Manchester+City,34,GK,Goalkeeper,8,436,5,1.2,73,Americas,Chile,0,6,11,1,1
Gabriel Jesus,Manchester+City,20,CF,Attacker,30,4254,10.5,15.2,67,Americas,Brazil,0,1,11,1,1
John Stones,Manchester+City,23,CB,Defence,35,1078,5.5,2.3,59,United Kingdom,United Kingdom,0,2,11,1,1
Vincent Kompany,Manchester+City,31,CB,Defence,22,935,6,6.6,57,EU,Belgium,0,4,11,1,0
Kelechi Iheanacho,Manchester+City,20,CF,Attacker,15,1662,7,1.5,52,RoW,Nigeria,0,1,11,1,0
Ilkay Gundogan,Manchester+City,26,CM,Midfield,30,1586,5.5,1,41,EU,Germany,0,3,11,1,1
Fernando,Manchester+City,32,DM,Midfield,18,338,4.5,0.4,18,Americas,Brazil,0,5,11,1,0
Fabian Delph,Manchester+City,27,CM,Midfield,8,520,4.5,0.4,13,United Kingdom,United Kingdom,0,3,11,1,0
Ederson Moraes,Manchester+City,23,GK,Goalkeeper,22,297,5.5,4.5,0,Americas,Brazil,1,2,11,1,0
Bernardo Silva,Manchester+City,22,RW,Attacker,40,1098,8,4.6,0,EU,Portugal,1,2,11,1,0
Romelu Lukaku,Manchester+United,24,CF,Attacker,50,3727,11.5,45,221,EU,Belgium,0,2,12,1,0
David de Gea,Manchester+United,26,GK,Goalkeeper,40,2126,5.5,26.1,136,EU,Spain,0,3,12,1,0
Antonio Valencia,Manchester+United,31,RB,Defence,10,1561,6.5,6.2,120,Americas,Ecuador,0,4,12,1,0
Paul Pogba,Manchester+United,24,CM,Midfield,75,7435,8,19.5,115,EU,France,0,2,12,1,1
Eric Bailly,Manchester+United,23,CB,Defence,30,1588,6,10.2,105,RoW,Cote d'Ivoire,0,2,12,1,1
Juan Mata,Manchester+United,29,AM,Attacker,30,2280,7,3.5,102,EU,Spain,0,4,12,1,0
Daley Blind,Manchester+United,27,LB,Defence,22,867,5.5,1.2,98,EU,Netherlands,0,3,12,1,0
Ander Herrera,Manchester+United,27,CM,Midfield,30,1603,5.5,7.7,97,EU,Spain,0,3,12,1,0
Anthony Martial,Manchester+United,21,CF,Attacker,30,2430,8,0.6,95,EU,France,0,1,12,1,0
Marcos Rojo,Manchester+United,27,CB,Defence,18,1063,5.5,0.1,77,Americas,Argentina,0,3,12,1,0
Marcus Rashford,Manchester+United,19,CF,Attacker,18,3668,7.5,4.8,76,United Kingdom,United Kingdom,0,1,12,1,0
Henrikh Mkhitaryan,Manchester+United,28,AM,Attacker,35,3312,8,4.5,73,RoW,Armenia,0,4,12,1,1
Matteo Darmian,Manchester+United,27,RB,Defence,12,1640,5.5,0.3,70,EU,Italy,0,3,12,1,0
Jesse Lingard,Manchester+United,24,LW,Attacker,12,1939,6,0.7,60,United Kingdom,United Kingdom,0,2,12,1,0
Phil Jones,Manchester+United,25,CB,Defence,14,808,5,0.4,55,United Kingdom,United Kingdom,0,3,12,1,0
Chris Smalling,Manchester+United,27,CB,Defence,18,834,5.5,1.3,52,United Kingdom,United Kingdom,0,3,12,1,0
Marouane Fellaini,Manchester+United,29,CM,Midfield,12,1498,5,0.2,48,EU,Belgium,0,4,12,1,0
Luke Shaw,Manchester+United,22,LB,Defence,20,947,5,0.4,45,United Kingdom,United Kingdom,0,2,12,1,0
Michael Carrick,Manchester+United,35,DM,Midfield,1.5,1789,4.5,1.8,42,United Kingdom,United Kingdom,0,6,12,1,0
Ashley Young,Manchester+United,32,LM,Midfield,5,936,5,0,26,United Kingdom,United Kingdom,0,5,12,1,0
Sergio Romero,Manchester+United,30,GK,Goalkeeper,6,849,5,0.2,23,Americas,Argentina,0,4,12,1,0
Axel Tuanzebe,Manchester+United,19,CB,Defence,1,279,4,1.7,14,United Kingdom,United Kingdom,0,1,12,1,0
Timothy Fosu-Mensah,Manchester+United,19,DM,Midfield,2.5,860,4.5,0.2,9,EU,Netherlands,0,1,12,1,0
Joel Castro Pereira,Manchester+United,21,GK,Goalkeeper,0.1,395,4,1,6,EU,Portugal,0,1,12,1,0
Victor Lindelof,Manchester+United,23,CB,Defence,22,950,5.5,17,0,EU,Sweden,1,2,12,1,0
Rob Elliot,Newcastle+United,31,GK,Goalkeeper,1,134,4,13.5,0,EU,Ireland,0,4,13,0,0
Karl Darlow,Newcastle+United,26,GK,Goalkeeper,4.5,235,4.5,1.1,0,United Kingdom,United Kingdom,0,3,13,0,0
DeAndre Yedlin,Newcastle+United,24,RB,Defence,5,764,4.5,5.2,0,Americas,United States,0,2,13,0,0
Ciaran Clark,Newcastle+United,27,CB,Defence,5,273,4.5,0.9,0,EU,Ireland,0,3,13,0,0
Lascelles,Newcastle+United,27,CB,Defence,5,400,4.5,3.6,0,United Kingdom,United Kingdom,0,3,13,0,0
Paul Dummett,Newcastle+United,25,LB,Defence,3.5,177,4.5,1,0,EU,United Kingdom,0,3,13,0,0
Grant Hanley,Newcastle+United,25,CB,Defence,4.5,265,4,2.5,0,EU,United Kingdom,0,3,13,0,0
Jesus Gamez,Newcastle+United,32,RB,Defence,2.5,186,4,2.3,0,EU,Spain,0,5,13,0,0
Florian Lejeune,Newcastle+United,26,CB,Defence,5,65,4.5,1,0,EU,France,0,3,13,0,0
Massadio Haidara,Newcastle+United,24,LB,Defence,1.5,114,4,0.5,0,EU,France,0,2,13,0,0
Matt Ritchie,Newcastle+United,27,RM,Midfield,9,566,6,4.2,0,EU,United Kingdom,0,3,13,0,0
Jonjo Shelvey,Newcastle+United,25,CM,Midfield,11,747,5.5,2.5,0,United Kingdom,United Kingdom,0,3,13,0,0
Mohamed Diame,Newcastle+United,30,CM,Midfield,6,339,5,0.5,0,RoW,Senegal,0,4,13,0,0
Jack Colback,Newcastle+United,27,DM,Midfield,5,181,4.5,1.1,0,United Kingdom,United Kingdom,0,3,13,0,0
Christian Atsu,Newcastle+United,25,RW,Attacker,5,641,5,2.1,0,RoW,Ghana,0,3,13,0,0
Siem de Jong,Newcastle+United,28,AM,Attacker,5.5,341,5,0.1,0,EU,Netherlands,0,4,13,0,0
Rolando Aarons,Newcastle+United,21,LW,Attacker,0.75,170,4.5,0.1,0,United Kingdom,United Kingdom,0,1,13,0,0
Dwight Gayle,Newcastle+United,26,CF,Attacker,10,1351,6.5,11.4,0,United Kingdom,United Kingdom,0,3,13,0,0
Ayoze Perez,Newcastle+United,23,SS,Attacker,8,368,5.5,1.6,0,EU,Spain,0,2,13,0,0
Aleksandar Mitrovic,Newcastle+United,22,CF,Attacker,10,781,5,2.5,0,EU,Serbia,0,2,13,0,0
Daryl Murphy,Newcastle+United,34,CF,Attacker,1.5,541,4.5,2.8,0,EU,Ireland,0,6,13,0,0
Fraser Forster,Southampton,29,GK,Goalkeeper,15,548,5,7.3,134,United Kingdom,United Kingdom,0,4,14,0,0
Nathan Redmond,Southampton,23,RW,Attacker,15,706,6.5,11.3,126,United Kingdom,United Kingdom,0,2,14,0,1
Ryan Bertrand,Southampton,27,LB,Defence,20,578,5.5,11.2,123,United Kingdom,United Kingdom,0,3,14,0,0
DuÅ¡an TadiÄ‡,Southampton,28,LW,Attacker,17,458,6.5,4.9,108,EU,Portugal,0,4,14,0,0
Cedric Soares,Southampton,25,RB,Defence,15,338,5,16.4,102,EU,Portugal,0,3,14,0,0
James Ward-Prowse,Southampton,22,CM,Midfield,15,416,5.5,2.2,92,United Kingdom,United Kingdom,0,2,14,0,0
Oriol Romeu,Southampton,25,DM,Midfield,10,476,4.5,4.2,80,EU,Spain,0,3,14,0,0
Maya Yoshida,Southampton,28,CB,Defence,5,317,5,1.1,78,RoW,Japan,0,4,14,0,0
Steven Davis,Southampton,32,CM,Midfield,6,310,5,0.2,77,EU,Northern Ireland,0,5,14,0,0
Virgil van Dijk,Southampton,26,CB,Defence,30,1102,5.5,4,75,EU,Netherlands,0,3,14,0,0
Charlie Austin,Southampton,28,CF,Attacker,13,874,6.5,2.1,62,United Kingdom,United Kingdom,0,4,14,0,0
Jack Stephens,Southampton,23,CB,Defence,3.5,249,5,0.4,60,United Kingdom,United Kingdom,0,2,14,0,0
Shane Long,Southampton,30,CF,Attacker,9,703,6,0.3,57,EU,Ireland,0,4,14,0,0
Sofiane Boufal,Southampton,23,AM,Attacker,15,590,6,0.3,40,RoW,Morocco,0,2,14,0,1
Jordy Clasie,Southampton,26,DM,Midfield,10,201,4.5,0.4,38,EU,Netherlands,0,3,14,0,0
Pierre-Emile Hojbjerg,Southampton,21,CM,Midfield,8,368,4.5,0.4,38,EU,Denmark,0,1,14,0,1
Manolo Gabbiadini,Southampton,25,CF,Attacker,15,2012,7,5.2,38,EU,Italy,0,3,14,0,0
Sam McQueen,Southampton,22,LM,Midfield,0.75,221,4.5,0.1,23,United Kingdom,United Kingdom,0,2,14,0,0
Matt Targett,Southampton,21,LB,Defence,3,110,4.5,0.2,12,United Kingdom,United Kingdom,0,1,14,0,0
Josh Sims,Southampton,20,RW,Attacker,0.5,126,4.5,0.1,12,United Kingdom,United Kingdom,0,1,14,0,0
Jeremy Pied,Southampton,28,RM,Midfield,3.5,136,4.5,0.1,5,EU,France,0,4,14,0,1
Jason McCarthy,Southampton,21,CB,Defence,0.25,53,4.5,0.1,0,United Kingdom,United Kingdom,0,1,14,0,0
Jan Bednarek,Southampton,21,CB,Defence,0.5,9,4.5,0.4,0,EU,Poland,1,1,14,0,0
Joe Allen,Stoke+City,27,CM,Midfield,15,523,5.5,6,118,EU,United Kingdom,0,3,15,0,1
Marko ArnautoviÄ‡,Stoke+City,28,LW,Attacker,15,579,7,0.7,117,United Kingdom,United Kingdom,0,4,15,0,0
Lee Grant,Stoke+City,34,GK,Goalkeeper,1,480,4.5,1.2,106,United Kingdom,United Kingdom,0,6,15,0,1
Erik Pieters,Stoke+City,28,LB,Defence,7,134,5,1.3,103,EU,Netherlands,0,4,15,0,0
Steven Fletcher,Stoke+City,30,CF,Attacker,3,522,5,1,103,EU,United Kingdom,0,4,15,0,0
Ryan Shawcross,Stoke+City,29,CB,Defence,11,281,5,1,94,EU,United Kingdom,0,4,15,0,0
Xherdan Shaqiri,Stoke+City,25,RW,Attacker,15,1000,6,3.2,80,EU,Switzerland,0,3,15,0,0
Peter Crouch,Stoke+City,36,CF,Attacker,1.5,2656,5,2.9,79,United Kingdom,United Kingdom,0,6,15,0,0
Glenn Whelan,Stoke+City,33,DM,Midfield,2.5,182,4.5,0.4,62,EU,Ireland,0,5,15,0,0
Charlie Adam,Stoke+City,31,CM,Midfield,3.5,561,5,0.1,59,EU,United Kingdom,0,4,15,0,0
Geoff Cameron,Stoke+City,32,CB,Defence,3,260,4.5,0.5,58,RoW,United States,0,5,15,0,0
Glen Johnson,Stoke+City,32,RB,Defence,5,512,4.5,0.8,56,United Kingdom,United Kingdom,0,5,15,0,0
Mame Biram Diouf,Stoke+City,29,CF,Attacker,7,310,5.5,0.4,51,RoW,Senegal,0,4,15,0,0
Ramadan Sobhi,Stoke+City,20,LW,Attacker,5,461,5,1.1,36,RoW,Egypt,0,1,15,0,1
Marc Muniesa,Stoke+City,25,CB,Defence,3,172,4.5,0.2,34,EU,Spain,0,3,15,0,0
Bojan KrkiÄ‡,Stoke+City,26,SS,Attacker,5,1325,5.5,0.2,30,EU,Spain,0,3,15,0,0
Phil Bardsley,Stoke+City,32,RB,Defence,1.5,365,4.5,0,27,EU,United Kingdom,0,5,15,0,0
Saido Berahino,Stoke+City,23,CF,Attacker,15,841,6,0.8,26,United Kingdom,United Kingdom,0,2,15,0,0
Giannelli Imbula,Stoke+City,24,DM,Midfield,12,238,4.5,0.2,24,EU,France,0,2,15,0,0
Jack Butland,Stoke+City,24,GK,Goalkeeper,15,402,5,2.8,20,United Kingdom,United Kingdom,0,2,15,0,0
Ibrahim Afellay,Stoke+City,31,LM,Midfield,3,461,5,0,15,EU,Netherlands,0,4,15,0,0
Josh Tymon,Stoke+City,18,LB,Defence,1,120,4.5,0.1,9,United Kingdom,United Kingdom,0,1,15,0,0
Gylfi Sigurdsson,Swansea,27,AM,Attacker,25,861,8.5,8.7,181,EU,Iceland,0,3,16,0,0
Fernando Llorente,Swansea,32,CF,Attacker,6,1423,7.5,0.7,146,EU,Spain,0,5,16,0,1
Åukasz FabiaÅ„ski,Swansea,32,GK,Goalkeeper,9,285,4.5,6.2,116,EU,Poland,0,5,16,0,0
Leroy Fer,Swansea,27,CM,Midfield,8,411,5.5,0.6,95,EU,Netherlands,0,3,16,0,1
Alfie Mawson,Swansea,23,CB,Defence,6,509,5,1.8,94,United Kingdom,United Kingdom,0,2,16,0,1
Kyle Naughton,Swansea,28,RB,Defence,5,170,4.5,2,82,United Kingdom,United Kingdom,0,4,16,0,0
Wayne Routledge,Swansea,32,LW,Attacker,2.5,264,5.5,0.1,74,United Kingdom,United Kingdom,0,5,16,0,0
Federico Fernandez,Swansea,28,CB,Defence,9,116,4.5,0.4,63,Americas,Argentina,0,4,16,0,0
Martin Olsson,Swansea,29,LB,Defence,5,458,5,0.3,52,EU,Sweden,0,4,16,0,0
Tom Carroll,Swansea,25,CM,Midfield,6,432,4.5,4.3,52,United Kingdom,United Kingdom,0,3,16,0,0
Ki Sung-yueng,Swansea,28,DM,Midfield,7,478,5,0,41,RoW,South Korea,0,4,16,0,0
Jordan Ayew,Swansea,25,CF,Attacker,7.5,676,5,2,39,RoW,Ghana,0,3,16,0,0
Modou Barrow,Swansea,24,RW,Attacker,3,437,5,0.1,34,RoW,The Gambia,0,2,16,0,0
Leon Britton,Swansea,34,CM,Midfield,1,218,4.5,0.1,32,United Kingdom,United Kingdom,0,6,16,0,0
Stephen Kingsley,Swansea,22,LB,Defence,0.75,168,4.5,0.2,29,EU,United Kingdom,0,2,16,0,0
Ã€ngel Rangel,Swansea,34,RB,Defence,1,137,4,18.8,26,EU,Spain,0,6,16,0,0
Luciano Narsingh,Swansea,26,RW,Attacker,5,448,5,0.1,25,EU,Netherlands,0,3,16,0,0
Jay Fulton,Swansea,23,CM,Midfield,0.5,104,4.5,0.1,19,EU,United Kingdom,0,2,16,0,0
Jefferson Montero,Swansea,27,LW,Attacker,4.5,187,5,0.1,18,Americas,Ecuador,0,3,16,0,0
Mike van der Hoorn,Swansea,24,CB,Defence,2,154,4.5,0.1,16,EU,Netherlands,0,2,16,0,1
Nathan Dyer,Swansea,29,RW,Attacker,3.5,313,4.5,0.1,12,United Kingdom,United Kingdom,0,4,16,0,0
Oliver McBurnie,Swansea,21,CF,Attacker,0.25,149,4.5,0.7,5,EU,United Kingdom,0,1,16,0,0
Kristoffer Nordfeldt,Swansea,28,GK,Goalkeeper,1.5,82,4,1.7,3,EU,Sweden,0,4,16,0,0
Roque Mesa,Swansea,28,CM,Midfield,12,110,4.5,0.9,0,EU,Spain,1,4,16,0,0
Tammy Abraham,Swansea,19,CF,Attacker,8,1227,5.5,3.3,0,United Kingdom,United Kingdom,0,1,16,0,0
Dele Alli,Tottenham,21,CM,Midfield,45,4626,9.5,38.6,225,United Kingdom,United Kingdom,0,1,17,1,0
Harry Kane,Tottenham,23,CF,Attacker,60,4161,12.5,35.1,224,United Kingdom,United Kingdom,0,2,17,1,0
Christian Eriksen,Tottenham,25,AM,Attacker,40,1130,9.5,12,218,EU,Denmark,0,3,17,1,0
Son Heung-min,Tottenham,25,LW,Attacker,30,2185,8,1.6,174,RoW,South Korea,0,3,17,1,0
Hugo Lloris,Tottenham,30,GK,Goalkeeper,24,847,5.5,12.6,143,EU,France,0,4,17,1,0
Jan Vertonghen,Tottenham,30,CB,Defence,28,511,6,9,126,EU,Belgium,0,4,17,1,0
Toby Alderweireld,Tottenham,28,CB,Defence,35,756,6,13.3,120,EU,Belgium,0,4,17,1,0
Victor Wanyama,Tottenham,26,DM,Midfield,25,1002,5,3.1,103,RoW,Kenya,0,3,17,1,1
Eric Dier,Tottenham,23,DM,Midfield,25,1239,5,3.5,93,United Kingdom,United Kingdom,0,2,17,1,0
Ben Davies,Tottenham,24,LB,Defence,12,396,5.5,1.8,90,EU,United Kingdom,0,2,17,1,0
Danny Rose,Tottenham,27,LB,Defence,28,848,6.5,0.6,84,United Kingdom,United Kingdom,0,3,17,1,0
Mousa Dembele,Tottenham,30,CM,Midfield,18,1161,5,1.8,76,EU,Belgium,0,4,17,1,0
Vincent Janssen,Tottenham,23,CF,Attacker,13,1135,7.5,0.1,55,EU,Netherlands,0,2,17,1,1
Kieran Trippier,Tottenham,26,RB,Defence,10,525,5.5,17.3,51,United Kingdom,United Kingdom,0,3,17,1,0
Moussa Sissokho,Tottenham,27,CM,Midfield,20,1162,5.5,0.3,43,EU,France,0,3,17,1,1
Harry Winks,Tottenham,21,CM,Midfield,4,806,5,0,30,United Kingdom,United Kingdom,0,1,17,1,0
Erik Lamela,Tottenham,25,RW,Attacker,25,672,6.5,0.1,28,Americas,Argentina,0,3,17,1,0
Michel Vorm,Tottenham,33,GK,Goalkeeper,4,252,5,0.1,17,EU,Netherlands,0,5,17,1,0
Georges-Kevin N%27Koudou,Tottenham,22,LW,Attacker,7,510,5.5,0.1,8,EU,France,0,2,17,1,1
Kevin Wimmer,Tottenham,24,CB,Defence,7,355,4.5,0.3,2,EU,Austria,0,2,17,1,0
Ã‰tienne Capoue,Watford,29,DM,Midfield,9,412,5.5,8,131,EU,France,0,4,18,0,0
Troy Deeney,Watford,29,CF,Attacker,11,1141,6.5,3.4,130,United Kingdom,United Kingdom,0,4,18,0,0
Heurelho Gomes,Watford,36,GK,Goalkeeper,1,439,4.5,2.2,113,Americas,Brazil,0,6,18,0,0
Jose Holebas,Watford,33,LB,Defence,2,345,5,0.6,87,EU,Greece,0,5,18,0,0
Miguel Britos,Watford,32,CB,Defence,3.5,131,4.5,0.6,71,Americas,Uruguay,0,5,18,0,0
Sebastian Prodl,Watford,30,CB,Defence,4,169,4.5,0.8,67,EU,Austria,0,4,18,0,0
Nordin Amrabat,Watford,30,LW,Attacker,4.5,295,5,0.1,65,RoW,Morocco,0,4,18,0,0
YounÃ¨s Kaboul,Watford,31,CB,Defence,2.5,263,4.5,0.1,57,EU,France,0,4,18,0,1
Tom Cleverley,Watford,27,CM,Midfield,8,703,5,0.2,55,United Kingdom,United Kingdom,0,3,18,0,0
Daryl Janmaat,Watford,27,RB,Defence,7,242,5,0.3,50,EU,Netherlands,0,3,18,0,1
Valon Behrami,Watford,32,DM,Midfield,2.5,237,4.5,0.4,48,EU,Switzerland,0,5,18,0,0
Roberto Pereyra,Watford,26,AM,Attacker,15,398,6,0.1,43,Americas,Argentina,0,3,18,0,1
Stefano Okaka,Watford,27,CF,Attacker,6,708,5.5,0.2,43,EU,Italy,0,3,18,0,1
Abdoulaye Doucoure,Watford,24,CM,Midfield,6,124,5,0,38,EU,France,0,2,18,0,0
Kabasele,Watford,26,CB,Defence,5.5,177,4.5,0.2,35,EU,Belgium,0,3,18,0,1
Craig Cathcart,Watford,28,CB,Defence,4,128,4.5,0,31,EU,Northern Ireland,0,4,18,0,0
Isaac Success,Watford,21,LW,Attacker,4,474,5.5,0.1,28,RoW,Nigeria,0,1,18,0,1
Adrian Mariappa,Watford,30,CB,Defence,1,201,4,5.4,15,Americas,Jamaica,0,4,18,0,1
Nathaniel Chalobah,Watford,22,DM,Midfield,5,977,4.5,2.3,12,United Kingdom,United Kingdom,0,2,18,0,0
Mauro Zarate,Watford,30,SS,Attacker,2,473,5.5,0,8,Americas,Argentina,0,4,18,0,0
Costel Pantilimon,Watford,30,GK,Goalkeeper,3,268,4.5,0.2,2,EU,Romania,0,4,18,0,0
Kiko Femenia,Watford,26,RB,Defence,4,74,4.5,0.3,0,EU,Spain,1,3,18,0,0
Steven Berghuis,Watford,25,RW,Attacker,5.5,164,5,0.1,0,EU,Netherlands,0,3,18,0,0
Will Hughes,Watford,22,CM,Midfield,8,258,5,0.6,0,United Kingdom,United Kingdom,1,2,18,0,0
Gareth McAuley,West+Brom,37,CB,Defence,1,458,5,11.8,131,EU,Northern Ireland,0,6,19,0,0
Salomon Rondon,West+Brom,27,CF,Attacker,15,502,6.5,2,118,Americas,Venezuela,0,3,19,0,0
Matt Phillips,West+Brom,26,RW,Attacker,9,454,6,5.6,115,EU,United Kingdom,0,3,19,0,1
Ben Foster,West+Brom,34,GK,Goalkeeper,4,484,4.5,20.7,113,United Kingdom,United Kingdom,0,6,19,0,0
Nacer Chadli,West+Brom,27,LW,Attacker,15,570,6,2.4,110,EU,Belgium,0,3,19,0,1
Craig Dawson,West+Brom,27,RB,Defence,6,215,5,6,102,United Kingdom,United Kingdom,0,3,19,0,0
Chris Brunt,West+Brom,32,LM,Midfield,4,242,5.5,0.8,99,EU,Northern Ireland,0,5,19,0,0
James Morrison,West+Brom,31,CM,Midfield,5,238,5.5,0,84,EU,United Kingdom,0,4,19,0,0
Jonny Evans,West+Brom,29,CB,Defence,7,375,5,1.6,79,EU,Northern Ireland,0,4,19,0,0
Jake Livermore,West+Brom,27,DM,Midfield,7,564,5,0.2,77,United Kingdom,United Kingdom,0,3,19,0,0
Allan Nyom,West+Brom,29,RB,Defence,4.5,236,5,0.3,74,RoW,Cameroon,0,4,19,0,1
Jay Rodriguez,West+Brom,27,CF,Attacker,10,472,6,2.9,73,United Kingdom,United Kingdom,0,3,19,0,0
Claudio Yacob,West+Brom,30,DM,Midfield,4,165,4.5,0.4,54,Americas,Argentina,0,4,19,0,0
James McClean,West+Brom,28,LW,Attacker,3,454,5,0.2,52,EU,Ireland,0,4,19,0,0
Hal Robson-Kanu,West+Brom,28,LW,Attacker,2.5,766,5,0.7,52,EU,United Kingdom,0,4,19,0,1
Jonathan Leko,West+Brom,18,RW,Attacker,1.5,169,4.5,0.2,12,United Kingdom,United Kingdom,0,1,19,0,0
Sam Field,West+Brom,19,CM,Midfield,0.25,15,4.5,0.1,9,United Kingdom,United Kingdom,0,1,19,0,0
Boaz Myhill,West+Brom,34,GK,Goalkeeper,1.5,100,4,5.3,0,EU,United Kingdom,0,6,19,0,0
Ahmed Hegazy,West+Brom,26,CB,Defence,1,82,4.5,1.3,0,RoW,Egypt,1,3,19,0,0
Robert Snodgrass,West+Ham,29,RW,Attacker,8,1210,6,6.5,133,EU,United Kingdom,0,4,20,0,0
Manuel Lanzini,West+Ham,24,AM,Attacker,15,493,7,7.2,133,Americas,Argentina,0,2,20,0,0
Michail Antonio,West+Ham,27,RW,Attacker,18,1142,7.5,0.5,132,United Kingdom,United Kingdom,0,3,20,0,0
Winston Reid,West+Ham,29,CB,Defence,10,338,5,0.4,102,RoW,New Zealand,0,4,20,0,0
Jose Fonte,West+Ham,33,CB,Defence,7,867,5,2.1,98,EU,Portugal,0,5,20,0,1
Andre Ayew,West+Ham,27,LW,Attacker,18,845,7,3.4,89,RoW,Ghana,0,3,20,0,1
Cheikhou Kouyate,West+Ham,27,DM,Midfield,12,284,5,0.1,79,RoW,Senegal,0,3,20,0,0
Mark Noble,West+Ham,30,CM,Midfield,7,425,5.5,0.1,71,United Kingdom,United Kingdom,0,4,20,0,0
Darren Randolph,West+Ham,30,GK,Goalkeeper,2.5,459,4.5,0.4,69,EU,Ireland,0,4,20,0,0
James Collins,West+Ham,33,CB,Defence,2,187,4.5,0.9,69,EU,United Kingdom,0,5,20,0,0
Andy Carroll,West+Ham,28,CF,Attacker,10,1212,6,0.4,69,United Kingdom,United Kingdom,0,4,20,0,0
Adrian,West+Ham,30,GK,Goalkeeper,8,266,4.5,0.8,64,EU,Spain,0,4,20,0,0
Aaron Cresswell,West+Ham,27,LB,Defence,12,380,5,1.3,60,United Kingdom,United Kingdom,0,3,20,0,0
Pedro Obiang,West+Ham,25,CM,Midfield,9,286,4.5,0.3,55,EU,Spain,0,3,20,0,0
Sofiane Feghouli,West+Ham,27,RW,Attacker,12,394,5.5,0.2,55,RoW,Algeria,0,3,20,0,1
Angelo Ogbonna,West+Ham,29,CB,Defence,9,247,4.5,1.1,45,EU,Italy,0,4,20,0,0
Pablo Zabaleta,West+Ham,32,RB,Defence,7,698,5,2.7,45,Americas,Argentina,0,5,20,0,0
Edimilson Fernandes,West+Ham,21,CM,Midfield,5,288,4.5,0.4,38,EU,Switzerland,0,1,20,0,1
Arthur Masuaku,West+Ham,23,LB,Defence,7,199,4.5,0.2,34,RoW,Congo DR,0,2,20,0,1
Sam Byram,West+Ham,23,RB,Defence,4.5,198,4.5,0.3,29,United Kingdom,United Kingdom,0,2,20,0,0
Ashley Fletcher,West+Ham,21,CF,Attacker,1,412,4.5,5.9,16,United Kingdom,United Kingdom,0,1,20,0,1
Diafra Sakho,West+Ham,27,CF,Attacker,10,214,5.5,0.1,12,RoW,Senegal,0,3,20,0,0
